,age,workclass,fnlwgt,education,education.num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
87,30,5,54334,15,5,5,10.0,0,3,0,0,0,40,1,0
88,43,2,410867,10,16,5,5.0,0,3,1,0,0,50,1,1
89,57,5,249977,14,11,2,5.0,4,3,0,0,0,40,1,0
90,37,5,286730,0,10,4,9.0,3,3,1,0,0,40,1,0
91,28,5,212563,0,10,4,6.0,3,0,1,0,0,25,1,0
93,34,4,226296,12,13,2,,4,3,0,0,0,40,1,1
94,29,4,115585,0,10,5,4.0,0,3,0,0,0,50,1,0
95,48,6,191277,10,16,2,5.0,4,3,0,0,1902,60,1,1
96,37,5,202683,0,10,2,10.0,4,3,0,0,0,48,1,1
97,48,5,171095,9,12,4,7.0,3,3,1,0,0,40,3,0
98,32,2,249409,3,9,5,13.0,5,0,0,0,0,40,1,0
99,76,5,124191,4,14,2,7.0,4,3,0,0,0,40,1,1
100,44,5,198282,12,13,2,7.0,4,3,0,15024,0,60,1,1
101,47,6,149116,4,14,5,5.0,0,3,1,0,0,50,1,0
102,20,5,188300,0,10,5,2.0,5,3,1,0,0,40,1,0
103,29,5,103432,3,9,5,9.0,0,3,0,0,0,40,1,0
104,32,0,317660,3,9,2,9.0,4,3,0,7688,0,40,1,1
106,30,5,194901,11,7,5,4.0,5,3,0,0,0,40,1,0
107,31,4,189265,3,9,5,3.0,0,3,1,0,0,40,1,0
108,42,5,124692,3,9,2,4.0,4,3,0,0,0,40,1,0
109,24,5,432376,12,13,5,10.0,2,3,0,0,0,40,1,0
110,38,5,65324,7,15,2,5.0,4,3,0,0,0,40,1,1
111,56,6,335605,3,9,2,13.0,4,3,0,0,1887,50,5,1
112,28,5,377869,0,10,2,10.0,1,3,1,4064,0,25,1,0
113,36,5,102864,3,9,5,6.0,5,3,1,0,0,40,1,0
114,53,5,95647,15,5,2,4.0,4,3,0,0,0,50,1,0
115,56,0,303090,0,10,2,10.0,4,3,0,0,0,50,1,0
116,49,4,197371,14,11,2,9.0,4,0,0,0,0,40,1,1
117,55,5,247552,0,10,2,10.0,4,3,0,0,0,56,1,0
118,22,5,102632,3,9,5,9.0,0,3,0,0,0,41,1,0
119,21,5,199915,0,10,5,13.0,5,3,1,0,0,40,1,0
120,40,5,118853,12,13,2,7.0,4,3,0,0,0,60,1,0
121,30,5,77143,12,13,5,7.0,5,0,0,0,0,40,6,0
122,29,1,267989,12,13,2,5.0,4,3,0,0,0,50,1,1
123,19,5,301606,0,10,5,13.0,5,0,0,0,0,35,1,0
124,47,5,287828,12,13,2,7.0,1,3,1,0,0,40,1,1
125,20,5,111697,0,10,5,3.0,5,3,1,0,1719,28,1,0
126,31,5,114937,9,12,2,3.0,4,3,0,0,0,40,1,1
128,39,5,365739,0,10,4,9.0,0,3,0,0,0,40,1,0
129,28,5,69621,9,12,5,10.0,0,3,1,0,0,60,1,0
130,24,5,43323,3,9,5,13.0,0,3,1,0,1762,40,1,0
131,38,6,120985,3,9,2,9.0,4,3,0,4386,0,35,1,0
132,37,5,254202,12,13,2,10.0,4,3,0,0,0,50,1,0
133,46,5,146195,9,12,4,2.0,0,0,1,0,0,36,1,0
134,38,2,125933,4,14,2,5.0,4,3,0,0,0,40,14,1
135,43,6,56920,3,9,2,9.0,4,3,0,0,0,60,1,0
136,27,5,163127,14,11,2,3.0,1,3,1,0,0,35,1,0
137,20,5,34310,0,10,5,10.0,5,3,0,0,0,20,1,0
138,49,5,81973,0,10,2,9.0,4,1,0,0,0,40,1,1
139,61,0,66614,3,9,2,9.0,4,3,0,0,0,40,1,0
140,27,5,232782,0,10,5,10.0,5,3,1,0,0,40,1,0
141,19,5,316868,0,10,5,13.0,5,3,0,0,0,30,21,0
142,45,5,196584,14,11,5,5.0,0,3,1,0,1564,40,1,1
143,70,5,105376,0,10,5,2.0,2,3,0,0,0,40,1,0
144,31,5,185814,3,9,5,11.0,3,0,1,0,0,30,1,0
145,22,5,175374,0,10,2,13.0,4,3,0,0,0,24,1,0
146,36,5,108293,3,9,1,13.0,3,3,1,0,0,24,1,0
147,64,5,181232,11,7,2,9.0,4,3,0,0,2179,40,1,0
149,47,4,186009,0,10,4,3.0,3,3,1,0,0,38,21,0
150,34,5,198183,3,9,5,3.0,0,3,1,0,0,40,1,0
151,33,5,163003,12,13,5,7.0,2,1,1,0,0,40,16,0
152,21,5,296158,3,9,5,9.0,5,3,0,0,0,35,1,0
154,48,5,187715,3,9,2,9.0,4,3,0,0,0,46,1,0
155,23,5,214542,12,13,5,4.0,0,3,0,0,0,40,1,0
156,71,6,494223,0,10,3,10.0,3,0,0,0,1816,2,1,0
157,29,5,191535,3,9,4,9.0,0,3,0,0,0,60,1,0
158,42,5,228456,12,13,3,13.0,2,0,0,0,0,50,1,0
160,25,5,252752,3,9,5,13.0,3,3,1,0,0,40,1,0
161,44,0,78374,4,14,4,7.0,3,1,1,0,0,40,1,0
162,28,5,88419,3,9,5,7.0,0,1,1,0,0,40,3,0
163,45,6,201080,4,14,2,10.0,4,3,0,0,0,40,1,1
164,36,5,207157,0,10,4,13.0,3,3,1,0,0,40,21,0
165,39,2,235485,9,12,5,7.0,0,3,0,0,0,42,1,0
166,46,1,102628,4,14,1,,3,3,0,0,0,40,1,0
167,18,5,25828,11,7,5,4.0,5,3,0,0,0,16,1,0
168,66,4,54826,14,11,1,5.0,0,3,1,0,0,20,1,0
169,27,5,124953,3,9,5,13.0,0,3,0,0,1980,40,1,0
170,28,1,175325,3,9,2,,4,3,0,0,0,40,1,0
171,51,5,96062,0,10,2,10.0,4,3,0,0,1977,40,1,1
172,27,5,428030,12,13,5,9.0,0,3,0,0,0,50,1,0
173,28,1,149624,12,13,2,5.0,4,3,0,0,0,40,1,1
174,27,5,253814,3,9,0,10.0,3,3,1,0,0,25,1,0
175,21,5,312956,3,9,5,9.0,5,0,0,0,0,40,1,0
176,34,5,483777,3,9,5,4.0,0,0,0,0,0,40,1,0
177,18,5,183930,3,9,5,13.0,5,3,0,0,0,12,1,0
178,33,5,37274,12,13,2,5.0,4,3,0,0,0,65,1,0
179,44,4,181344,0,10,2,7.0,4,0,0,0,0,38,1,1
180,43,5,114580,0,10,4,3.0,0,3,1,0,0,40,1,0
181,30,5,633742,0,10,5,9.0,0,0,0,0,0,45,1,0
182,40,5,286370,6,4,2,6.0,4,3,0,0,0,40,21,1
183,37,2,29054,0,10,2,3.0,4,3,0,0,0,42,1,1
184,34,5,304030,3,9,2,3.0,4,0,0,0,0,40,1,0
185,41,6,143129,12,13,4,7.0,0,3,1,0,0,40,1,0
187,31,5,99928,4,14,2,5.0,1,3,1,0,0,50,1,0
188,58,1,109567,10,16,2,5.0,4,3,0,0,0,1,1,1
189,38,5,155222,0,10,4,6.0,0,0,1,0,0,28,1,0
190,24,5,159567,0,10,2,6.0,4,3,0,0,0,40,1,0
191,41,4,523910,12,13,2,9.0,4,0,0,0,0,40,1,0
192,47,5,120939,0,10,2,2.0,4,3,0,0,0,45,1,0
193,41,2,130760,12,13,2,2.0,4,3,0,0,0,24,1,0
194,23,5,197387,2,3,2,11.0,2,3,0,0,0,40,21,0
195,36,5,99374,0,10,4,9.0,0,3,0,0,0,40,1,0
196,40,2,56795,4,14,5,7.0,0,3,1,14084,0,55,1,1
197,35,5,138992,4,14,2,5.0,2,3,0,7298,0,40,1,1
198,24,6,32921,3,9,5,10.0,0,3,0,0,0,40,1,0
199,26,5,397317,4,14,5,5.0,0,3,1,0,1876,40,1,0
201,51,5,259323,12,13,2,7.0,4,3,0,0,0,50,1,1
202,42,4,254817,0,10,5,5.0,0,3,1,0,1340,40,1,0
203,37,1,48211,3,9,4,3.0,3,3,1,0,0,35,1,0
204,18,5,140164,11,7,5,10.0,5,3,1,0,0,40,1,0
205,36,5,128757,12,13,2,13.0,4,0,0,7298,0,36,1,1
206,35,5,36270,3,9,4,9.0,0,3,0,0,0,60,1,0
207,58,0,210563,3,9,2,10.0,1,3,1,15024,0,35,1,1
208,17,5,65368,11,7,5,10.0,5,3,1,0,0,12,1,0
209,44,4,160943,3,9,2,11.0,4,0,0,0,0,40,1,0
210,37,5,208358,3,9,2,9.0,4,3,0,0,0,40,1,1
211,35,5,153790,0,10,5,10.0,0,4,1,0,0,40,1,0
212,60,5,85815,3,9,2,9.0,4,1,0,0,0,40,1,0
213,54,0,125417,6,4,2,6.0,4,3,0,0,0,40,1,1
214,37,5,635913,12,13,5,7.0,0,0,0,0,0,60,1,1
215,50,5,313321,9,12,4,10.0,0,3,1,0,0,40,1,0
216,38,5,182609,12,13,2,10.0,4,3,0,0,0,50,18,0
217,45,5,109434,12,13,2,5.0,4,3,0,0,0,55,1,0
218,25,5,255004,13,6,5,9.0,0,3,0,0,0,40,1,0
219,31,5,197860,0,10,2,4.0,4,3,0,0,0,40,1,0
221,90,5,51744,3,9,5,13.0,0,0,0,0,2206,40,1,0
222,54,5,176681,3,9,2,3.0,4,0,0,0,0,20,1,0
223,53,4,140359,1,1,5,6.0,0,3,1,0,0,35,1,0
224,18,5,243313,3,9,5,10.0,5,3,1,0,0,40,1,0
226,66,6,167687,3,9,2,1.0,4,3,0,1409,0,50,1,0
227,75,5,314209,14,11,1,3.0,0,3,1,0,0,20,30,0
228,65,5,176796,3,9,4,3.0,0,3,1,0,0,40,1,0
229,35,5,538583,11,7,3,11.0,0,0,0,3674,0,40,1,0
230,41,5,130408,3,9,4,10.0,3,0,1,0,0,38,1,0
231,25,5,159732,0,10,5,3.0,0,3,0,0,0,42,1,0
232,33,5,110978,0,10,4,9.0,2,2,1,0,0,40,1,0
233,28,5,76714,7,15,5,5.0,0,3,0,0,0,55,1,1
234,59,1,268700,3,9,2,13.0,4,3,0,0,0,40,1,0
235,40,1,170525,0,10,5,3.0,0,3,1,0,0,38,1,0
236,41,5,180138,12,13,2,7.0,4,3,0,0,0,50,14,1
237,38,4,115076,4,14,2,7.0,4,3,0,0,0,70,1,1
238,23,5,115458,3,9,5,11.0,5,3,0,0,0,40,1,0
239,40,5,347890,12,13,2,5.0,4,3,0,0,0,40,1,1
240,41,6,196001,3,9,2,13.0,1,3,1,0,0,20,1,0
241,24,1,273905,9,12,2,,4,3,0,0,0,50,1,0
243,38,5,179488,0,10,4,9.0,0,3,0,0,1741,40,1,0
245,58,5,236596,3,9,2,3.0,4,3,0,0,0,45,1,1
246,32,5,183916,3,9,5,13.0,0,3,1,0,0,34,1,0
247,40,5,207578,9,12,2,2.0,4,3,0,0,1977,60,1,1
249,41,5,112763,7,15,2,5.0,1,3,1,0,0,40,1,1
250,42,5,390781,12,13,2,3.0,1,0,1,0,0,40,1,0
251,59,4,171328,13,6,1,13.0,3,0,1,0,0,30,1,0
252,19,4,27382,0,10,5,3.0,5,3,0,0,0,40,1,0
253,58,5,259014,0,10,5,11.0,0,3,0,0,0,20,1,0
254,42,6,303044,3,9,2,1.0,4,1,0,0,0,40,2,1
255,20,5,117789,3,9,5,13.0,5,3,1,0,0,40,1,0
256,32,5,172579,3,9,3,13.0,0,3,1,0,0,30,1,0
257,45,5,187666,14,11,1,7.0,0,3,1,0,0,45,1,0
258,50,5,204518,6,4,4,9.0,0,3,0,0,0,40,1,0
259,36,5,150042,12,13,4,5.0,5,3,1,0,0,40,1,0
260,45,5,98092,3,9,2,10.0,4,3,0,0,0,60,1,0
261,17,5,245918,11,7,5,13.0,5,3,0,0,0,12,1,0
262,59,5,146013,0,10,2,10.0,4,3,0,4064,0,40,1,0
263,26,5,378322,11,7,2,9.0,4,3,0,0,0,40,1,0
264,37,0,257295,0,10,2,7.0,4,1,0,0,0,75,35,1
266,64,5,21174,3,9,2,7.0,4,3,0,0,0,40,1,1
267,33,5,185480,12,13,5,5.0,0,3,1,0,0,45,1,0
268,33,5,222205,3,9,2,9.0,1,3,1,0,0,40,1,1
269,61,5,69867,3,9,2,7.0,4,3,0,0,0,40,1,1
270,17,5,191260,15,5,5,13.0,5,3,0,1055,0,24,1,0
271,50,6,30653,4,14,2,1.0,4,3,0,2407,0,98,1,0
272,27,4,209109,4,14,5,5.0,5,3,0,0,0,35,1,0
273,30,5,70377,3,9,4,5.0,5,3,1,0,0,40,1,0
274,43,5,477983,3,9,2,4.0,4,0,0,0,0,40,1,0
275,44,5,170924,0,10,2,9.0,4,3,0,7298,0,40,1,1
276,35,5,190174,0,10,5,7.0,0,3,1,0,0,40,1,0
277,25,5,193787,0,10,5,2.0,5,3,1,0,0,40,1,0
278,24,5,279472,0,10,2,6.0,1,3,1,7298,0,48,1,1
279,22,5,34918,12,13,5,5.0,0,3,1,0,0,15,6,0
280,42,4,97688,0,10,2,9.0,4,3,0,5178,0,40,1,1
281,34,5,175413,9,12,4,10.0,3,0,1,0,0,45,1,0
282,60,5,173960,12,13,4,5.0,0,3,1,0,0,42,1,0
283,21,5,205759,3,9,5,4.0,5,3,0,0,0,40,1,0
284,57,2,425161,4,14,2,10.0,4,3,0,15024,0,40,1,1
285,41,5,220531,7,15,2,5.0,4,3,0,0,0,60,1,1
286,50,5,176609,0,10,4,13.0,0,3,0,0,0,45,1,0
287,25,5,371987,12,13,5,7.0,0,3,1,0,0,40,1,0
288,50,5,193884,6,4,2,9.0,4,3,0,0,0,40,27,0
289,36,5,200352,12,13,2,5.0,4,3,0,0,0,45,1,0
290,31,5,127595,3,9,4,5.0,0,3,1,0,0,40,1,0
291,29,4,220419,12,13,5,,0,3,0,0,0,56,1,0
292,21,5,231931,0,10,5,10.0,5,3,0,0,0,45,1,0
293,27,5,248402,12,13,5,2.0,3,0,1,0,0,40,1,0
294,65,5,111095,3,9,2,11.0,4,3,0,0,0,16,1,0
295,37,0,57424,12,13,4,10.0,0,3,1,0,0,60,1,0
297,24,5,278130,3,9,5,9.0,5,3,0,0,0,40,1,0
298,38,5,169469,3,9,4,10.0,0,3,0,0,0,80,1,0
299,48,5,146268,12,13,2,3.0,4,3,0,7688,0,40,1,1
300,21,5,153718,0,10,5,13.0,0,1,1,0,0,25,1,0
301,31,5,217460,3,9,2,11.0,4,3,0,0,0,45,1,1
302,55,5,238638,3,9,2,10.0,4,3,0,4386,0,40,1,1
303,24,5,303296,0,10,2,3.0,1,1,1,0,0,40,26,0
304,43,5,173321,3,9,4,3.0,0,3,1,0,0,40,1,0
305,26,5,193945,9,12,5,2.0,0,3,0,0,0,45,1,0
306,46,5,83082,9,12,5,5.0,0,3,1,0,0,33,1,0
307,35,5,193815,9,12,2,3.0,4,3,0,0,0,40,1,1
308,41,0,34987,0,10,2,1.0,4,3,0,0,0,54,1,1
309,26,5,59306,12,13,5,10.0,0,3,0,0,0,40,1,0
310,34,5,142897,4,14,2,7.0,4,1,0,7298,0,35,28,1
312,36,6,205607,12,13,4,5.0,0,0,1,0,0,40,1,1
313,22,5,199698,0,10,5,10.0,5,3,0,0,0,15,1,0
314,24,5,191954,0,10,5,6.0,0,3,0,0,0,40,1,0
315,77,6,138714,0,10,2,10.0,4,3,0,0,0,40,1,0
316,22,5,399087,2,3,2,6.0,2,3,1,0,0,40,21,0
317,29,5,423158,0,10,5,2.0,0,3,1,0,0,40,1,0
318,62,5,159841,3,9,1,13.0,0,3,1,0,0,24,1,0
319,39,6,174308,3,9,2,7.0,4,3,0,0,0,40,1,0
320,43,5,50356,0,10,2,9.0,4,3,0,0,1485,50,1,0
321,35,5,186110,3,9,4,11.0,0,3,0,0,0,45,1,0
322,29,5,200381,11,7,5,7.0,0,3,1,0,0,40,1,0
323,76,6,174309,4,14,2,9.0,4,3,0,0,0,10,1,0
324,63,6,78383,3,9,2,1.0,4,3,0,0,0,45,1,0
326,43,5,187728,0,10,2,5.0,1,3,1,0,1887,50,1,1
327,58,6,321171,3,9,2,4.0,4,3,0,0,0,40,1,0
328,66,5,127921,3,9,5,11.0,0,3,0,2050,0,55,1,0
329,41,5,206565,0,10,5,9.0,0,0,0,0,0,45,1,0
330,26,5,224563,12,13,5,3.0,0,3,0,0,0,40,1,0
331,47,5,178686,14,11,5,13.0,0,3,0,0,0,40,1,0
332,55,4,98545,13,6,2,3.0,4,3,0,0,0,40,1,0
333,53,5,242606,3,9,2,11.0,4,3,0,0,0,40,1,0
334,17,5,270942,2,3,5,13.0,2,3,0,0,0,48,21,0
335,30,5,94235,3,9,5,9.0,2,3,0,0,0,40,1,0
336,49,5,71195,4,14,5,5.0,0,3,0,0,0,60,1,0
337,19,5,104112,3,9,5,10.0,3,0,0,0,0,30,29,0
338,45,5,261192,3,9,2,13.0,4,0,0,0,0,40,1,0
339,26,5,94936,9,12,5,10.0,0,3,0,0,0,40,1,0
340,38,5,296478,14,11,2,9.0,4,3,0,7298,0,40,1,1
341,36,1,119272,3,9,2,,4,3,0,7298,0,40,1,1
342,33,5,85043,3,9,5,1.0,0,3,0,0,0,20,1,0
343,22,1,293364,0,10,5,,5,0,1,0,0,40,1,0
344,43,6,241895,12,13,5,10.0,0,3,0,0,0,42,1,0
347,56,5,101128,9,12,0,13.0,0,3,0,0,0,25,14,0
348,31,5,156464,12,13,5,5.0,5,3,0,0,0,25,1,0
349,33,5,117963,12,13,2,7.0,4,3,0,0,0,40,1,1
350,26,5,192262,3,9,2,13.0,4,3,0,0,0,40,1,0
351,33,5,111363,12,13,2,7.0,4,3,0,0,0,40,1,1
352,46,4,329752,11,7,2,11.0,4,3,0,0,0,30,1,0
354,38,2,95432,3,9,2,3.0,4,3,0,0,0,40,1,1
355,65,5,161400,11,7,1,13.0,3,2,0,0,0,40,1,0
356,40,5,96129,14,11,2,2.0,4,3,0,0,0,40,1,1
357,42,5,111949,3,9,2,3.0,1,3,1,0,0,35,1,0
358,26,6,117125,15,5,2,9.0,4,3,0,0,0,40,22,0
359,36,5,348022,13,6,2,13.0,1,3,1,0,0,24,1,0
360,62,5,270092,4,14,2,5.0,4,3,0,0,0,40,1,1
361,43,5,180609,12,13,2,11.0,4,3,0,0,0,45,1,0
362,43,5,174575,12,13,4,7.0,0,3,0,0,1564,45,1,1
363,22,5,410439,3,9,0,10.0,0,3,0,0,0,55,1,0
364,28,5,92262,3,9,2,9.0,4,3,0,0,0,40,1,0
365,56,6,183081,0,10,2,10.0,4,3,0,0,0,45,1,0
366,22,5,362589,9,12,5,10.0,0,3,1,0,0,15,1,0
367,57,5,212448,12,13,4,7.0,0,3,1,0,0,45,1,1
368,39,5,481060,3,9,4,10.0,3,3,1,0,0,40,1,0
369,26,2,185885,0,10,5,3.0,3,3,1,0,0,15,1,0
370,17,5,89821,11,7,5,13.0,5,3,0,0,0,10,1,0
371,40,1,184018,14,11,2,6.0,4,3,0,0,0,38,1,1
372,45,5,256649,3,9,2,6.0,4,0,0,0,0,40,1,0
373,44,5,160323,3,9,5,9.0,0,0,0,0,0,40,1,0
374,20,4,350845,0,10,5,3.0,5,3,1,0,0,10,1,0
375,33,5,267404,3,9,2,9.0,1,3,1,0,0,40,1,0
376,23,5,35633,0,10,5,10.0,0,3,0,0,0,40,1,0
377,46,6,80914,4,14,4,7.0,0,3,0,0,0,30,1,0
378,38,5,172927,3,9,2,10.0,4,3,0,0,0,50,1,0
379,54,5,174319,3,9,4,11.0,0,3,0,0,0,40,1,0
380,46,5,214955,2,3,4,9.0,0,3,1,0,2339,45,1,0
381,25,5,344991,0,10,2,9.0,4,3,0,0,0,40,1,0
382,46,5,108699,0,10,4,10.0,0,3,1,0,0,40,1,0
383,36,4,117312,0,10,2,11.0,1,3,1,0,0,40,1,0
384,23,5,396099,3,9,5,13.0,0,3,1,0,0,25,1,0
385,29,5,134152,3,9,3,6.0,0,3,0,0,0,40,1,0
386,44,5,162028,0,10,2,3.0,1,3,1,0,2415,6,1,1
387,19,5,25429,0,10,5,3.0,5,3,1,0,0,16,1,0
388,19,5,232392,3,9,5,13.0,2,3,1,0,0,40,1,0
389,35,5,220098,3,9,2,13.0,1,3,1,0,0,40,1,1
390,27,5,301302,12,13,5,9.0,0,3,0,0,0,50,1,0
391,46,6,277946,9,12,3,9.0,0,3,0,0,0,40,1,0
393,34,5,196164,3,9,5,13.0,0,3,1,0,0,35,1,0
394,44,5,115562,0,10,2,2.0,4,3,0,0,0,40,1,0
395,45,5,96975,0,10,4,4.0,3,3,1,0,0,40,1,0
397,25,5,86872,12,13,2,7.0,4,3,0,0,0,55,1,1
398,52,0,132178,12,13,2,7.0,4,3,0,0,0,50,1,1
399,20,5,416103,0,10,5,4.0,5,3,0,0,0,40,1,0
400,28,5,108574,0,10,5,13.0,0,3,1,0,0,40,1,0
401,50,1,288353,12,13,2,,4,3,0,0,0,40,1,1
402,34,5,227689,14,11,4,2.0,0,3,1,0,0,64,1,0
403,28,5,166481,6,4,2,4.0,4,2,0,0,2179,40,4,0
404,41,5,445382,4,14,2,7.0,4,3,0,0,1977,65,1,1
405,28,5,110145,3,9,2,3.0,4,3,0,0,0,40,1,0
406,46,6,317253,3,9,2,9.0,4,3,0,0,0,25,1,0
408,32,5,364657,0,10,2,7.0,4,3,0,0,0,50,1,0
409,41,4,42346,0,10,4,13.0,0,0,1,0,0,24,1,0
410,24,5,241951,3,9,5,4.0,3,0,1,0,0,40,1,0
411,33,5,118500,0,10,4,7.0,3,3,1,0,0,40,1,0
412,46,5,188386,10,16,2,7.0,4,3,0,15024,0,60,1,1
413,31,1,1033222,0,10,2,6.0,4,3,0,0,0,40,1,0
414,35,5,92440,5,8,4,9.0,0,3,0,0,0,50,1,1
415,52,5,190762,8,2,2,6.0,4,3,0,0,0,40,21,0
416,30,5,426017,11,7,5,13.0,5,3,1,0,0,19,1,0
417,34,4,243867,11,7,3,6.0,0,0,0,0,0,40,1,0
418,34,1,240283,3,9,4,11.0,3,3,1,0,0,40,1,0
419,20,5,61777,0,10,2,10.0,4,3,0,0,0,30,1,0
420,17,5,175024,11,7,5,4.0,5,3,0,2176,0,18,1,0
421,32,1,92003,12,13,2,7.0,1,3,1,0,0,40,1,1
422,29,5,188401,3,9,4,1.0,0,3,0,0,0,40,1,0
423,33,5,228528,13,6,5,9.0,3,3,1,0,0,35,1,0
424,25,5,133373,3,9,2,11.0,4,3,0,0,0,60,1,0
